Basepack,Cluster,BP_Clus,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201613,201614,201615,201616,201617,201618,201619,201620,201621,201622,201623,201624,201625,201626,201627,201628,201629,201630,201631,201632,201633,201634,201635,201636,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201713,201714,201715,201716,201717,201718,201719,201720,201721,201722,201723,201724,201725,201726,201727,201728,201729,201730,201731,201732,201733,201734,201735,201736,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201813,201814,201815,201816,201817,201818,201819,missing,weekly_avg,missing_in_last_30,missing_in_first_30
70111,ANDHRA PRADESH,70111 ANDHRA PRADESH,0,1849.78,3855.03,1773.38,3376.8,3334.42,1481.76,2008.78,3219.74,2368.8,1338.9,1784.33,1948.86,1717.06,3629.65,2290.83,2002.02,2389.91,2248.31,1500.74,2737.18,1036.94,1995.71,1471.68,2951.79,2468.44,2226.97,2582.51,1622.21,2564.21,2247.1,2721.6,1925.27,1826.05,2721.6,2620.8,2832.48,2540.16,1300.32,1269.16,3103.63,663.79,3593.04,3008.12,2076.48,4059.73,2559.95,4261.94,1193.28,2357.54,4183.2,2471.91,3393.98,3716.67,3376.8,1522.08,3840.48,2439.36,3084.48,3981.6,3094.56,2993.76,5885.61,4119.92,1445.12,6314.72,4021.91,8.46,10889.77,6668.98,4272.76,6068.16,4213.44,4747.68,3386.42,210.5,8303.04,4715.89,2953.44,4171.06,6088.31,4168.37,1996.32,5483,2585.23,2377.09,756,0,0,0,0,0,2751.161399,0,0
70111,GREATER MAHARASHTRA,70111 GREATER MAHARASHTRA,0,947.39,2537.36,4282.58,4878.69,8360.31,2384.43,1375.61,1987.44,1863.51,847,1803.5,6416.64,5979.44,1763.38,312.34,1296.91,1632.46,0,996.48,1817.63,1174.66,1075.29,1382.31,1244.07,1399.1,2640.28,1290.52,1286.46,2226.52,1794.25,1380.96,2033.96,2032.16,2170.78,1800.79,2718.28,2421.55,3588.24,1764,1325.62,2862.85,1831.31,2990.89,3626.01,1747.61,2500.75,2181.95,1759.67,1539.38,3176.15,1437.32,1488.15,3138.24,1155.93,1108.8,2903.04,1683.36,1653.12,2721.6,947.52,1384.1,2365.73,1948.87,1688.81,1976.62,1149.79,718.2,3335.46,1660.11,1439.95,3677.38,1434.16,1991.65,3880.8,1206.45,1732.18,1905.12,1573.66,1790.51,2509.72,1655.39,1622.1,4205.58,632.58,870.16,451.47,0,0,0,0,0,1909.502766,0,0
70111,KARNATAKA-KERALA,70111 KARNATAKA-KERALA,0,2177.51,6375.11,5104.64,4712.56,6798.77,3813.18,5586.09,7236.26,6433.07,4545.65,7659.3,2719.43,4863.33,5989.38,5610.41,4900.73,8531.64,7586.04,2405.2,7926.84,3596.8,4384.12,7221.5,3981.04,6066.99,7875.06,8474.85,3125.13,5327.57,5251.68,4038.58,5122.22,4761.54,5088.92,6433,6400.8,3890.88,7247.52,3276,8396.92,6434.04,4035.87,4845.29,6685.94,4948.36,5268.96,5258.83,4305.79,3716.75,5871.07,6930.89,3947.96,5570.34,7644.74,1522.08,4415.04,4525.92,4112.64,5876.64,4979.52,4495.68,7781.42,5089.47,3357.05,7031.12,5418.6,5068.51,5987.24,5581,3776.98,6780.73,3974.81,6698.4,4402.61,6461.28,4949.28,5770.25,3373.15,4728.65,6831.19,5813.67,4280.58,6142.16,5018.81,5426.06,401.53,0,0,0,0,0,4856.103295,0,0
70111,MUMBAI-PUNE,70111 MUMBAI-PUNE,0,241.1,1076.87,9777.6,7786.67,4222.23,630.46,761.73,474.84,912.31,126.3,378.7,5723.9,1159.2,997.6,771.89,383.04,957.41,534.24,262.37,724.81,621.73,667.1,644.46,1002.22,1237.47,1300.32,1622.3,1216.45,1874.88,1753.92,1300.32,1774.04,1179.25,1249.92,1703.52,1874.88,1461.6,1633.08,1895.04,544.32,1199.49,2640.54,2429.11,1730.61,1662.96,788.4,1362.96,846.55,1154.13,2529.12,967.37,1862.78,1259.57,1451.52,524.16,1703.52,1622.88,1229.76,1320.48,2308.32,1300.32,1481.73,1995.84,1609.47,675.23,913.61,10.08,2791.39,3003.64,874.87,1299.6,1963.44,836.51,1774.08,1189.44,1401.12,1314.36,1330.34,1612.41,2298.07,530.38,693.33,2610.51,735.67,614.03,98.46,0,0,0,0,0,1383.110708,0,0
70197,ANDHRA PRADESH,70197 ANDHRA PRADESH,0,2126.2,1990.25,3431,2145,2251.85,2015.45,1535.25,2068.45,1968,1437.95,1842.55,1800.6,1535.85,1886.05,1896.15,2073.1,2028.5,2494.1,1205.1,2313.8,3421.35,2306.3,2448,1910.8,2182.5,1911.2,2437.85,1224.85,2183.6,1992,2112,1899.5,2472,2496,2507.3,2976,2976,2112,1896,2386.9,1957.5,1703,1871.1,1742.4,1992,1991.95,1555.9,1872,1800,2447.7,2508,2232,1937.25,2760,1536,2520,2496,2880,2280,2400,1704,2605.25,2622.15,2039.85,2886.8,2183.85,2816.8,1751.6,2313.35,2472,2640.55,2320.3,3336,2135.9,2424,2003.65,2325.75,1529.1,2449.6,2136,2232,2255.9,1991.75,3137.05,3720,162,0,0,0,0,0,2006.123161,0,0
70197,KARNATAKA-KERALA,70197 KARNATAKA-KERALA,0,541.1,319.6,442.9,805.2,501.4,368,679.8,646.85,475.4,454.2,527.9,513.35,462.75,647.65,672.8,739.15,527.15,680,517.45,650.05,554.25,732.65,775.55,507.2,505.1,846.8,767.8,652.25,709.95,765.6,607.4,661.15,692.45,716.6,663.6,698.4,775.4,595.2,427.2,786.55,507.05,384.8,951.7,774.65,822.9,311.65,790.85,692.3,671.5,768,579.1,886.35,656.25,911.95,504,600,744,792,696,936,408,742.5,838.65,551.85,907.5,642.8,753,695,672,543.5,744,808.6,647.55,874.55,768,744,816,886.55,455.45,811.38,815.85,596.9,411.6,978.2,936,71.8,0,0,0,0,0,603.3632799,0,0
70197,TAMIL NADU,70197 TAMIL NADU,0,19890.85,34482.7,30488.9,34227.35,42375.85,22497.7,28313.6,31391.55,30038.8,14441.7,31820.1,25671.9,21556.4,34742.95,34396.65,32281.65,35167.8,33125.75,19082.2,54575.2,30523.5,34632.7,37601.4,28928.8,26178.45,31389.9,31861.7,19840.4,34409.6,23448,26831.55,30959.4,27337.6,27445.7,49509,39143.75,29756.9,31965.9,29231,25315.85,25597.1,18396.25,28462.2,29182.35,30394.35,25327.1,28844.65,20630.5,21750.85,31560.45,27954.9,23178.45,29666.5,33586.35,15564,35933.8,27071.5,27912,31536,31751.75,25895.8,37250.95,31871.4,24330.5,30473.6,27416.45,30892.7,27624.15,30455.7,24991.2,31972.65,27190.05,37475.7,26361,34068.9,23789.4,28113.85,21439,29183.25,32201.65,26757.25,24470.5,29147.95,23640.9,29278.3,6317.6,0,0,0,0,0,26529.73568,0,0
70198,ANDHRA PRADESH,70198 ANDHRA PRADESH,0,10.13,33.35,156.18,155.83,0,335.6,147.34,107,168,0,244.38,159.75,0,98.04,99.4,38.33,0,157.75,35.07,169.6,63.6,205.3,155.75,42.4,150.98,51.93,399.35,19.2,144,82.5,120,173,261,408,144,168,264,168,128.48,127.98,71.8,97.3,39.68,101.48,156.43,143.95,72,44.88,95.45,241.78,165.23,222.28,95.83,237.43,240,144,264,312,144,96,48,0,0,175.9,192,146.13,143.95,26.38,264,120,99.1,98.83,192,82.38,167.98,94.13,47.55,100.1,19.88,120,167.05,119.83,202.13,0,100.53,0,0,0,0,0,0,118.1547708,0,0
70198,TAMIL NADU,70198 TAMIL NADU,0,8101.1,13676.8,9736.03,11420.9,17214.33,9742.48,13272.85,16029.7,15353.33,5878.05,16882.55,10617.35,8705.8,16125.83,6052.78,20415.73,17361.38,15567.75,8501.91,18760.23,9703.3,12844.5,14428.68,13432.48,13634.73,15767.2,18309.18,8223.2,9100.7,15048,11328,14549.18,9832.53,10165.98,13512,13056,9476.04,11912.38,11640,9759.23,11632.58,8822.33,9547.75,11671.1,12776.5,9216.96,8462.13,7039.18,6927.08,11330.25,9998.86,7298.98,8996.75,13784.23,3684,9347.88,8159.75,9456,10824,9384,9144,12102.88,11549.43,7676.98,8733.33,9343.1,8913.75,8036.95,9813.23,8226.15,9425.13,7939.43,12180.68,7569.13,10018.1,7179.18,8632.33,5731.68,8854.33,9708.85,7786.88,6379.18,11085.48,6230.98,7466.25,2032.85,0,0,0,0,0,9736.828323,0,0
70199,ANDHRA PRADESH,70199 ANDHRA PRADESH,0,15778,21763,13823,13246.6,14741.5,13067.2,16389.3,17508.4,20136,11460.9,18258.1,15337.6,16001.7,19546.6,15353,14733.1,15927,21919.5,9973.3,19749.3,16241.4,17820,19572,17129.7,12438.4,22368.4,21510.9,12164.2,19040.9,16378.5,16212,14303.5,15825.8,17346,16955.7,21389,20676,16108,15874.7,19401.3,17870.2,12994.9,15952.4,17517.7,18968.3,12461.1,14584.1,17324.6,14169.1,20065,18391.1,16270.9,16702.4,20415.9,12216,19235.5,17736,20172,19452,20315.5,15480,21336.2,19523.3,14078,21656,16064.9,19097.8,17754.7,17708.8,18033.9,21323,19271.8,23568,17600.5,18031.8,17995.2,18388,12447.7,18320.6,19062.9,19918.7,12477.6,20455.1,15144.8,17178.3,4524,0,0,0,0,0,15667.31461,0,0
